City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,6.34,93,37,2.61,NZ,1721314759
1,nova sintra,14.8667,-24.7167,24.42,74,14,4.3,CV,1721314760
2,margaret river,-33.95,115.0667,10.93,62,99,14.03,AU,1721314761
3,barranquilla,10.9639,-74.7964,27.88,83,20,2.06,CO,1721314544
4,adamstown,-25.066,-130.1015,22.18,86,6,9.1,PN,1721314763
5,manaure,11.7751,-72.4445,29.82,63,100,2.53,CO,1721314764
6,kailua-kona,19.6406,-155.9956,23.98,92,100,3.6,US,1721314765
7,hard bargain,26.3167,-77.5667,28.56,75,97,5.51,BS,1721314767
8,grytviken,-54.2811,-36.5092,-0.16,84,39,0.79,GS,1721314768
9,invercargill,-46.4,168.35,1.68,99,23,1.34,NZ,1721314769
10,bredasdorp,-34.5322,20.0403,11.93,90,96,2.26,ZA,1721314770
11,kodiak,57.79,-152.4072,9.73,93,100,3.09,US,1721314771
12,yellowknife,62.456,-114.3525,22.45,63,100,3.09,CA,1721314772
13,mitu,1.1983,-70.1733,22.69,92,100,0.85,CO,1721314773
14,edinburgh of the seven seas,-37.0676,-12.3116,12.72,70,40,8.42,SH,1721314775
15,dunedin,-45.8742,170.5036,7.67,94,71,0.89,NZ,1721314776
16,amga,60.8953,131.9608,15.97,94,100,1.44,RU,1721314777
17,ribeira grande,38.5167,-28.7,24.22,73,40,3.6,PT,1721314778
18,karratha,-20.7377,116.8463,21.96,81,2,1.02,AU,1721314779
19,port-aux-francais,-49.35,70.2167,2.72,98,100,8.66,TF,1721314780
20,chardara,41.2547,67.9692,29.94,32,24,1.6,KZ,1721314782
21,olonkinbyen,70.9221,-8.7187,4.77,89,100,3.63,SJ,1721314783
22,hammerfest,70.6634,23.6821,22.25,56,40,6.69,NO,1721314784
23,kathu,7.9178,98.3332,29.83,87,98,2.81,TH,1721314785
24,archangelos,36.2149,28.1149,29.99,38,0,2.82,GR,1721314786
25,beinamar,8.6698,15.3813,28.78,65,97,1.24,TD,1721314787
26,waitangi,-43.9535,-176.5597,9.34,94,97,1.79,NZ,1721314788
27,hultsfred,57.4882,15.8436,24.05,43,24,5.51,SE,1721314790
28,lobujya,27.95,86.8167,5.32,98,100,2.4,NP,1721314791
29,guerrero negro,27.9769,-114.0611,20.45,76,62,4.19,MX,1721314792
30,albesti,47.7,27.0667,34.59,33,62,7.49,RO,1721314793
31,itoman,26.1247,127.6694,30.01,86,20,3.6,JP,1721314794
32,college,64.8569,-147.8028,10.04,87,75,2.06,US,1721314775
33,jamestown,42.097,-79.2353,20.77,72,20,2.06,US,1721314700
34,nuuk,64.1835,-51.7216,6.71,80,13,2.21,GL,1721314798
35,nadi,-17.8,177.4167,21.0,94,20,0.0,FJ,1721314799
36,casalbordino-miracoli,42.1535,14.5991,35.83,40,0,3.8,IT,1721314800
37,sitka,57.0531,-135.33,13.0,89,25,1.11,US,1721314803
38,azangaro,-14.9167,-70.2167,10.92,21,0,1.24,PE,1721314805
39,san patricio,28.017,-97.5169,30.51,63,100,1.04,US,1721314806
40,polyarnyy,69.1989,33.4478,17.32,72,53,5.44,RU,1721314807
41,korsakov,46.6328,142.7813,15.91,95,69,1.47,RU,1721314808
42,merizo village,13.2658,144.6691,28.85,89,100,7.68,GU,1721314809
43,port mathurin,-19.6833,63.4167,23.13,74,7,8.03,MU,1721314810
44,fale old settlement,-9.3852,-171.2468,28.39,77,85,10.46,TK,1721314811
45,albany,42.6001,-73.9662,25.57,61,82,0.45,US,1721314641
46,west island,-12.1568,96.8225,26.99,74,20,7.72,CC,1721314815
47,bilibino,68.0546,166.4372,13.5,58,8,3.97,RU,1721314816
48,manggar,-2.8833,108.2667,27.55,77,47,6.73,ID,1721314817
49,new norfolk,-42.7826,147.0587,5.72,98,55,1.06,AU,1721314818
50,mount isa,-20.7333,139.5,6.87,57,1,1.54,AU,1721314820
51,mitchell,43.7094,-98.0298,22.31,66,0,1.34,US,1721314821
52,wailua homesteads,22.0669,-159.378,22.08,95,28,4.06,US,1721314822
53,thompson,55.7435,-97.8558,21.09,73,75,1.03,CA,1721314823
54,newport,51.5877,-2.9984,26.73,54,57,2.64,GB,1721314622
55,hermanus,-34.4187,19.2345,13.78,80,100,4.1,ZA,1721314825
56,majene,-3.5403,118.9707,24.41,79,7,7.0,ID,1721314826
57,stanley,54.868,-1.6985,21.77,64,20,3.6,GB,1721314828
58,monrovia,6.3005,-10.7969,24.87,80,100,7.17,LR,1721314783
59,usol'ye,59.4268,56.6808,19.9,82,28,3.32,RU,1721314831
60,bethel,41.3712,-73.414,26.06,76,100,0.89,US,1721314832
61,aasiaat,68.7098,-52.8699,5.67,74,1,3.1,GL,1721314834
62,haiku-pauwela,20.9219,-156.3051,21.81,78,0,2.06,US,1721314835
63,kuta,-8.7233,115.1723,26.97,83,40,6.17,ID,1721314836
64,huarmey,-10.0681,-78.1522,19.09,69,48,2.88,PE,1721314837
65,udachny,66.4167,112.4,15.12,39,18,2.53,RU,1721314838
66,karamay,45.6004,84.8661,29.32,35,100,10.85,CN,1721314839
67,ende,-8.8432,121.6623,20.42,90,59,0.98,ID,1721314841
68,barra de santo antonio,-9.4047,-35.5072,25.6,73,75,4.53,BR,1721314842
69,praia da vitoria,38.7333,-27.0667,24.31,73,40,3.85,PT,1721314843
70,remire-montjoly,4.9167,-52.2667,31.02,66,75,1.54,GF,1721314844
71,mahajanga,-15.7167,46.3167,28.01,61,20,4.12,MG,1721314846
72,lihue,21.9789,-159.3672,22.42,95,44,4.36,US,1721314848
73,blackmans bay,-43.0167,147.3167,5.07,89,50,0.45,AU,1721314849
74,tralee,52.2704,-9.7026,18.14,68,100,3.09,IE,1721314850
75,mogocha,53.7333,119.7667,15.12,99,100,2.02,RU,1721314851
76,ziro,27.6333,93.8333,18.56,96,83,0.18,IN,1721314852
77,ushuaia,-54.8,-68.3,1.81,69,20,6.69,AR,1721314854
78,orkney,-26.9802,26.6727,23.33,8,0,5.08,ZA,1721314855
79,badger,64.8,-147.5333,9.99,89,75,2.06,US,1721314856
80,arawa,-6.2132,155.5367,24.89,92,100,1.98,PG,1721314858
81,malanville,11.8685,3.3899,33.26,52,92,3.02,BJ,1721314859
82,cabo san lucas,22.8909,-109.9124,28.99,52,5,4.97,MX,1721314860
83,touros,-5.1989,-35.4608,27.4,70,88,6.7,BR,1721314862
84,regina,50.4501,-104.6178,17.06,77,20,3.09,CA,1721314388
85,longyearbyen,78.2186,15.6401,9.91,71,0,7.2,SJ,1721314864
86,aleksandrovsk-sakhalinskiy,50.8975,142.1561,15.62,90,100,3.7,RU,1721314865
87,bandarbeyla,9.4942,50.8122,27.42,70,73,14.9,SO,1721314866
88,nabire,-3.3667,135.4833,23.48,93,100,2.0,ID,1721314868
89,tikhvin,59.6451,33.5294,18.45,86,100,2.17,RU,1721314869
90,genhe,50.7833,121.5167,15.86,100,100,1.1,CN,1721314870
91,tura,25.5198,90.2201,25.76,95,61,1.92,IN,1721314871
92,sterlitamak,53.6246,55.9502,20.96,83,17,2.76,RU,1721314872
93,mena,51.5217,32.2157,19.8,90,80,4.61,UA,1721314630
94,puerto ayora,-0.7393,-90.3518,23.98,90,89,3.13,EC,1721314874
95,klyuchi,52.2667,79.1667,20.32,81,64,2.88,RU,1721314876
96,sofifi,0.7349,127.576,26.28,80,100,1.26,ID,1721314877
97,arrifes,37.7667,-25.7,24.14,69,75,6.17,PT,1721314878
98,peace river,56.2501,-117.286,19.25,72,75,2.06,CA,1721314880
99,cacheu,12.2706,-16.1658,26.05,81,97,3.45,GW,1721314881
100,jiuquan,39.7432,98.5174,28.52,29,13,3.29,CN,1721314882
